chunk_id,source_id,source,source_type,section,framework,title,url,crawl_batch,chunk_index,file,chars,prepared_at
chunk_2d0b1b1620f00c8e,unity_35b8e0d8a4b8e459,unity_docs,official_documentation,Manual,,Preferences reference,https://docs.unity3d.com/6000.4/Documentation/Manual/Preferences.html,unity_docs_incremental_260527_002,1,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_2d0b1b1620f00c8e.md,1617,2026-05-27T13:13:27.728397+00:00
chunk_9c9c8cb4b0037bc1,unity_35b8e0d8a4b8e459,unity_docs,official_documentation,Manual,,Preferences reference,https://docs.unity3d.com/6000.4/Documentation/Manual/Preferences.html,unity_docs_incremental_260527_002,2,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_9c9c8cb4b0037bc1.md,563,2026-05-27T13:13:27.729513+00:00
chunk_4038f7dfc1f01b28,unity_adc471cb3020d966,unity_docs,official_documentation,Manual,,Gizmos introduction,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-introduction.html,unity_docs_incremental_260527_002,1,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_4038f7dfc1f01b28.md,1794,2026-05-27T13:13:27.732212+00:00
chunk_5d538ed8c7cdde53,unity_adc471cb3020d966,unity_docs,official_documentation,Manual,,Gizmos introduction,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-introduction.html,unity_docs_incremental_260527_002,2,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_5d538ed8c7cdde53.md,1790,2026-05-27T13:13:27.733206+00:00
chunk_619afa17f14027bd,unity_adc471cb3020d966,unity_docs,official_documentation,Manual,,Gizmos introduction,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-introduction.html,unity_docs_incremental_260527_002,3,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_619afa17f14027bd.md,1754,2026-05-27T13:13:27.734359+00:00
chunk_987201e7a21fd4bf,unity_adc471cb3020d966,unity_docs,official_documentation,Manual,,Gizmos introduction,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-introduction.html,unity_docs_incremental_260527_002,4,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_987201e7a21fd4bf.md,1770,2026-05-27T13:13:27.735383+00:00
chunk_906c7a317140742d,unity_adc471cb3020d966,unity_docs,official_documentation,Manual,,Gizmos introduction,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-introduction.html,unity_docs_incremental_260527_002,5,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_906c7a317140742d.md,1722,2026-05-27T13:13:27.736322+00:00
chunk_1f9892e401568d1d,unity_adc471cb3020d966,unity_docs,official_documentation,Manual,,Gizmos introduction,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-introduction.html,unity_docs_incremental_260527_002,6,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_1f9892e401568d1d.md,1677,2026-05-27T13:13:27.737173+00:00
chunk_360477ebf08a9cd7,unity_f3cb1f61d2b8fd2c,unity_docs,official_documentation,Manual,,Programming with gizmos and handles,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-handles-programming.html,unity_docs_incremental_260527_002,1,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_360477ebf08a9cd7.md,1769,2026-05-27T13:13:27.739616+00:00
chunk_9f7bb870d017ed30,unity_f3cb1f61d2b8fd2c,unity_docs,official_documentation,Manual,,Programming with gizmos and handles,https://docs.unity3d.com/6000.4/Documentation/Manual/gizmos-handles-programming.html,unity_docs_incremental_260527_002,2,E:/系统/桌面/工作区/本学期/大三下/IT项目管理/大作业/Data/KnowledgeBase/processed_clean/dify_import/unity_docs_chunk_9f7bb870d017ed30.md,1670,2026-05-27T13:13:27.740495+00:00
