category,source,title,url
空引用与对象生命周期,github_issue,Game crash (on Linux) TM:PE V11 STABLE,https://github.com/CitiesSkylinesMods/TMPE/issues/817
API弃用与版本迁移,github_issue,WinUI 3.0 roadmap - we need your input!,https://github.com/microsoft/microsoft-ui-xaml/issues/717
编译与命名空间,github_issue,Tracking issue for illumos and Solaris x86-64 port work,https://github.com/dotnet/runtime/issues/34944
空引用与对象生命周期,github_issue,AOT-stubs for Bolt Community Addons in Addressables on Android,https://github.com/RealityStop/Bolt.Addons.Community/issues/67
空引用与对象生命周期,github_issue,User- and developer-friendly way of distributing tasks using UtilPack.NuGet.MSBuild task factory,https://github.com/stazz/UtilPack/issues/7
空引用与对象生命周期,github_issue,Unity 2018.2 Application.isWebPlayer error in ParseInitializeBehaviour...,https://github.com/parse-community/Parse-SDK-dotNET/issues/294
空引用与对象生命周期,github_issue,Problem with Spawning at runtime and with NetworkedTransform,https://github.com/Unity-Technologies/com.unity.netcode.gameobjects/issues/46
空引用与对象生命周期,github_issue,Issue getting VideoAdsSample to display ads when built as Windows Store App,https://github.com/microsoft/unityplugins/issues/21
空引用与对象生命周期,github_issue,Game slows down/freezes after playing a while,https://github.com/TeamPorcupine/ProjectPorcupine/issues/796
空引用与对象生命周期,github_issue,allow references to structs to be stored in fields of ref structs,https://github.com/dotnet/csharplang/issues/1147
空引用与对象生命周期,github_issue,Google Play Games Services plugin v10,https://github.com/playgameservices/play-games-plugin-for-unity/issues/2687
空引用与对象生命周期,github_issue,Auth cause ClassNotFoundException on GameHelper.,https://github.com/playgameservices/play-games-plugin-for-unity/issues/81
空引用与对象生命周期,github_issue,Spawning A Player and a Non-Player Object,https://github.com/Unity-Technologies/com.unity.netcode.gameobjects/issues/40
空引用与对象生命周期,github_issue,Game Crashed at Sign In,https://github.com/playgameservices/play-games-plugin-for-unity/issues/1724
空引用与对象生命周期,github_issue,Failure of the main functions of the server after the last update.,https://github.com/SmartlyDressedGames/Unturned-3.x-Community/issues/4760
空引用与对象生命周期,github_issue,(NO LONGER ACTIVE),https://github.com/SchuhBaum/SimplifiedMoveset/issues/12
空引用与对象生命周期,github_issue,PSA: NetTransport Rewrite,https://github.com/SmartlyDressedGames/Unturned-3.x-Community/issues/1971
空引用与对象生命周期,github_issue,iOS authentication is failing in latest version,https://github.com/elringus/unity-google-drive/issues/18
空引用与对象生命周期,github_issue,"Mono.Debugger hangs Visual Studio 2017 for ~3min on the ""Starting Android application"" step",https://github.com/dotnet/android/issues/1664
空引用与对象生命周期,github_issue,MacOS arm64 (Apple Silicon) Support - Valheim,https://github.com/BepInEx/BepInEx/issues/899
空引用与对象生命周期,github_issue,New update seems to have caused issues on Linux 2021.1.9f1 editor. Crashes and closes editor right away.,https://github.com/neon-age/Smart-Inspector/issues/8
空引用与对象生命周期,github_issue,"Persistent Error: ""Ads still not loaded""",https://github.com/EvilMindDevs/hms-unity-plugin/issues/163
空引用与对象生命周期,github_issue,trigger object with a note in Unity,https://github.com/melanchall/drywetmidi/issues/85
空引用与对象生命周期,github_issue,3D Keyboard,https://github.com/microsoft/MixedRealityToolkit-Unity/issues/546
空引用与对象生命周期,github_issue,Dissonance issues with players disconnecting and reconnecting,https://github.com/Placeholder-Software/Dissonance/issues/55
空引用与对象生命周期,github_issue,SocketCluster for Unity3D,https://github.com/sacOO7/SocketclusterClientDotNet/issues/4
空引用与对象生命周期,github_issue,[feature] Magic Leap Support,https://github.com/Placeholder-Software/Dissonance/issues/125
空引用与对象生命周期,github_issue,Beat Saber (620980),https://github.com/ValveSoftware/Proton/issues/6638
构建与IL2CPP,github_issue,"Crashlytics not sending any crash reports, getting ""failed to retrieve settings"" error on logcat.",https://github.com/firebase/quickstart-unity/issues/798
空引用与对象生命周期,github_issue,NullReferenceException at GoogleSignIn_Result,https://github.com/Thaina/google-signin-unity/issues/46
空引用与对象生命周期,github_issue,Playback produces unexpected results in Unity,https://github.com/melanchall/drywetmidi/issues/31
空引用与对象生命周期,github_issue,Unity SDK - S3 PostObject Amazon.Runtime.Internal.HttpErrorResponseException when using S3CannedACL.PublicRead,https://github.com/aws/aws-sdk-net/issues/332
空引用与对象生命周期,github_issue,IndexOutOfRangeException: Array index is out of range.,https://github.com/Demigiant/dotween/issues/16
空引用与对象生命周期,github_issue,Signal Handling,https://github.com/FEX-Emu/FEX/issues/1682
空引用与对象生命周期,github_issue,Amazon Polly for Unity,https://github.com/aws/aws-sdk-net/issues/627
空引用与对象生命周期,github_issue,Allow Controller to directly interact with Unity UI elements,https://github.com/ExtendRealityLtd/VRTK/issues/639
空引用与对象生命周期,github_issue,Help with Directions API,https://github.com/mapbox/mapbox-unity-sdk/issues/531
空引用与对象生命周期,github_issue,[BUG] VPM cannot find supported editor for 2022.3.6f1 on Linux,https://github.com/vrchat-community/creator-companion/issues/408
空引用与对象生命周期,github_issue,HoloLens and MapBox issue,https://github.com/mapbox/mapbox-unity-sdk/issues/734
空引用与对象生命周期,github_issue,win10 build error,https://github.com/homuler/MediaPipeUnityPlugin/issues/358
空引用与对象生命周期,github_issue,"Plugin Loads but ""Empty""",https://github.com/sinai-dev/UnityExplorer/issues/7
空引用与对象生命周期,github_issue,Failed to spawn Network Object when Client Joins,https://github.com/Unity-Technologies/com.unity.netcode.gameobjects/issues/3897
空引用与对象生命周期,github_issue,Create a new Resource (resx) file an error occurs,https://github.com/dotnet/project-system/issues/1409
空引用与对象生命周期,github_issue,ARSessionOrigin has no member Raycast,https://github.com/TheUnityWorkbench/tuw-arfoundation-demo/issues/1
空引用与对象生命周期,github_issue,[BUG] - Knarr cannot resolve YML when installed through R2/Thunderstore,https://github.com/sbtoonz/Trader_2.0/issues/18
空引用与对象生命周期,github_issue,serial port trouble with .NET 3.5 in Unity,https://github.com/PyramidTechnologies/netPyramid-RS-232/issues/1
空引用与对象生命周期,github_issue,NullReferenceException Crashes the build,https://github.com/microsoft/MixedRealityToolkit-Unity/issues/1058
空引用与对象生命周期,github_issue,Engine crashes on stop,https://github.com/InitialPrefabs/nimgui/issues/8
